READER_ID,ATD_SENSOR_ID,KITS_ID,ATD_LOCATION_ID,MODIFIED_DATE,SENSOR_STATUS,TURN_ON_DATE,SENSOR_TYPE,SENSOR_MFG,COA_INTERSECTION_ID,PRIMARY_ST_SEGMENT_ID,CROSS_ST_SEGMENT_ID,LANDMARK,PRIMARY_ST_AKA,CROSS_ST_AKA,SIGNAL_ENG_AREA,COUNCIL_DISTRICT,JURISDICTION,LOCATION_TYPE,LOCATION_NAME,PRIMARY_ST,CROSS_ST,PRIMARY_ST_BLOCK,COUNTY,CROSS_ST_BLOCK,Location,IP_COMM_STATUS,COMM_STATUS_DATETIME_UTC,LOCATION_LATITUDE,LOCATION_LONGITUDE
cesar_chavez_trail_underpass,126,,LOC16-007260,,TURNED_ON,,BLUETOOTH,,,,,H&B Trail Underpass,,,CENTRAL,9,,ROADWAY,1000 BLK W CESAR CHAVEZ ST (H&B Trail Underpass),CESAR CHAVEZ ST,,1000,,,"(30.268652, -97.759929)",ONLINE,03/29/2018 08:35:00 AM +0000,30.268652,-97.759929
bartonsprings_robertelee_south,130,,LOC16-007265,,TURNED_ON,,BLUETOOTH,,,,,South of Barton Springs Rd,,,SOUTHWEST,5,,ROADWAY,400 BLK ROBERT E LEE RD (South of Barton Springs Rd),ROBERT E LEE RD,,400,,,"(30.264245, -97.765802)",ONLINE,03/29/2018 08:35:00 AM +0000,30.264245,-97.765802
mcangus_south,49,,LOC16-007035,10/13/2017 06:56:00 PM +0000,TURNED_ON,,BLUETOOTH,Wavetronix,,,,South of Elroy Rd,,,SOUTHEAST,,,ROADWAY,11406 BLK MC ANGUS RD (South of Elroy Rd), MC ANGUS RD,  ,11406,,,"(30.1440611, -97.64924705)",ONLINE,05/16/2018 08:35:00 AM +0000,30.1440611,-97.64924705
,174,,LOC16-003860,08/01/2017 08:52:00 PM +0000,TURNED_ON,,BLUETOOTH,TrafficNet,5166219,,,,,,NORTHEAST,1,,ROADWAY,FM 969 RD / JOHNNY MORRIS RD,FM 969 RD, JOHNNY MORRIS RD,7000,,5100,"(30.2827682, -97.653183)",OFFLINE,01/20/2018 03:35:00 PM +0000,30.2827682,-97.653183
,180,,LOC16-000865,08/02/2017 03:08:00 PM +0000,TURNED_ON,,BLUETOOTH,TrafficNet,5162956,,,,,,NORTHEAST,3,,ROADWAY, AIRPORT BLVD / LEVANDER LOOP, AIRPORT BLVD, LEVANDER LOOP,750,,7400,"(30.2537231, -97.692543)",ONLINE,03/29/2018 08:35:00 AM +0000,30.2537231,-97.692543
,181,,LOC16-000835,08/02/2017 03:10:00 PM +0000,TURNED_ON,,BLUETOOTH,TrafficNet,5160349,,,,,,NORTHEAST,9,,ROADWAY, AIRPORT BLVD / 35 SVRD, AIRPORT BLVD,IH 35 SVRD,4457,,4300,"(30.3026237, -97.7157364)",ONLINE,03/29/2018 08:35:00 AM +0000,30.3026237,-97.7157364
,182,,LOC16-000835,08/02/2017 03:11:00 PM +0000,TURNED_ON,,BLUETOOTH,TrafficNet,5160349,,,,,,NORTHEAST,9,,ROADWAY, AIRPORT BLVD / 35 SVRD, AIRPORT BLVD,IH 35 SVRD,4457,,4300,"(30.3026237, -97.7157364)",ONLINE,03/29/2018 08:35:00 AM +0000,30.3026237,-97.7157364
,186,26,LOC17-010490,02/09/2018 10:41:00 PM +0000,TURNED_ON,,RADAR,Wavetronix,5158644,,,,,,NORTHEAST,"7,9",,ROADWAY, LAMAR BLVD / ZENNIA ST, LAMAR BLVD, ZENNIA ST,5200,,701,"(30.319905, -97.730292)",ONLINE,03/29/2018 08:35:00 AM +0000,30.319905,-97.730292
,187,,LOC17-010495,08/17/2017 05:28:00 PM +0000,TURNED_ON,,RADAR,Wavetronix,,,,,,,NORTHEAST,"7,4",,ROADWAY,7200 BLK N LAMAR BLVD, LAMAR BLVD,  ,7200,,,"(30.341338, -97.716444)",OFFLINE,08/17/2017 05:28:00 PM +0000,30.341338,-97.716444
,188,,LOC17-010500,08/17/2017 05:32:00 PM +0000,TURNED_ON,,RADAR,Wavetronix,,,,DPS,,,NORTHEAST,"7,4",,ROADWAY,5900 BLK N LAMAR BLVD (DPS), LAMAR BLVD,  ,5900,,,"(30.328184, -97.724821)",OFFLINE,01/12/2018 03:35:00 PM +0000,30.328184,-97.724821
