"All crash data available using this tool represents reportable data collected from Texas Peace Officer's Crash Reports (CR-3) received and processed by the Texas Department of Transportation (Department) as of 07/11/2018. The Department makes no warranty, representation or guaranty as to the content, accuracy, timeliness or completeness of any of the information provided as a result of your query. Any opinions and conclusions resulting from analysis performed on the crash data must be represented as your own and not those of the State of Texas or the Department. "

"Query Result Counts:"
"Your query returned a total of 5,408 Crashes containing 17,883 Units and 23,486 Persons"

"Query Filters:"
"Crash Year Is In 2015 or 2016 or 2017"
"City Is Equal To Austin"

"Managed Filters:"
"Driving Under the Influence of Alcohol or Drugs"

"Crash ID","Crash Severity","Crash Time","Crash Year","Day of Week","Latitude","Longitude","Street Name","Street Number"
"14206176","Not Injured","0309","2015","Thursday","30.176436","-97.83301448","W SLAUGHTER LN","NO DATA"
"14206958","Non-Incapacitating Injury","2217","2015","Thursday","30.23900571","-97.71942111","S PLEASANT VALLEY RD","1401"
"14207961","Possible Injury","0933","2015","Thursday","30.39647055","-97.66768407","YAGER LN E","307"
"14211440","Not Injured","0114","2015","Thursday","30.24195124","-97.78462498","SL0343","3082"
"14214993","Possible Injury","0215","2015","Thursday","30.35612205","-97.7308984","BURNET RD","7897"
"14214996","Not Injured","1600","2015","Thursday","30.41066386","-97.67412961","IH0035","NO DATA"
"14215447","Non-Incapacitating Injury","0750","2015","Thursday","30.32556534","-97.67331696","US0183","NO DATA"
"14223946","Not Injured","0435","2015","Thursday","30.19085996","-97.77168601","E WILLIAM CANNON DR","NO DATA"
"14289475","Not Injured","0607","2015","Thursday","30.21545875","-97.68330242","US0183","2275"
"14206038","Non-Incapacitating Injury","1127","2015","Friday","30.27355583","-97.69796511","OAK SPRINGS DR","3289"
"14220081","Not Injured","0012","2015","Friday","30.32776477","-97.69131247","CAMERON RD","7300"
"14222662","Non-Incapacitating Injury","0116","2015","Friday","30.24016477","-97.72707248","BURTON DR","1500"
"14223410","Not Injured","0255","2015","Friday","30.25695292","-97.73712422","IH0035","NO DATA"
"14206054","Not Injured","2239","2015","Saturday","30.30492518","-97.66441571","LOYOLA LN","5210"
"14217646","Not Injured","0218","2015","Saturday","30.16758792","-97.78574102","IH0035","NO DATA"
"14219156","Not Injured","0229","2015","Saturday","30.16503251","-97.78732445","IH0035","NO DATA"
"14225475","Not Injured","1941","2015","Saturday","30.23660423","-97.84045442","US0290","NO DATA"
"14206078","Non-Incapacitating Injury","0720","2015","Sunday","30.22276473","-97.76360428","US0290","NO DATA"
"14217904","Not Injured","0345","2015","Sunday","30.24119509","-97.72640033","TINNIN FORD RD","1518"
"14219854","Not Injured","0042","2015","Sunday","No Data","No Data","SH0071","NO DATA"
"14225513","Not Injured","0034","2015","Sunday","30.37087464","-97.72131063","US0183","NO DATA"
"14225515","Not Injured","0350","2015","Sunday","30.23253777","-97.7205622","E RIVERSIDE DR","4567"
"14233238","Non-Incapacitating Injury","2217","2015","Sunday","30.20236015","-97.63785553","SH0071","NO DATA"
"14233601","Non-Incapacitating Injury","0117","2015","Sunday","30.29221474","-97.66362099","US0183","NO DATA"
"14260014","Unknown","0335","2015","Sunday","30.22964479","-97.76025246","WOODWARD ST","100"
"14206965","Unknown","0320","2015","Monday","30.40380316","-97.74552714","US0183","NO DATA"
"14223446","Not Injured","0221","2015","Monday","30.40845403","-97.71596606","FM1325","NO DATA"
"14231389","Non-Incapacitating Injury","1518","2015","Monday","30.29209792","-97.71539536","CLARKSON AVE","3700"
"14251401","Not Injured","2341","2015","Monday","30.24373235","-97.78215758","SL0343","2884"
"14211690","Not Injured","2100","2015","Tuesday","No Data","No Data","BURTON DR","NO DATA"
"14212227","Killed","1704","2015","Tuesday","30.3204286","-97.71310236","SS0069","NO DATA"
"14226960","Not Injured","0001","2015","Tuesday","30.2608574","-97.75852178","SL0343","500"
"14226970","Not Injured","0324","2015","Tuesday","No Data","No Data","W 5TH ST","NO DATA"
"14231192","Possible Injury","2010","2015","Tuesday","30.35697659","-97.70432703","FAIRFIELD DR","900"
"14850127","Non-Incapacitating Injury","2307","2015","Tuesday","No Data","No Data","E WILLIAM CANNON DR","NO DATA"
"14233361","Unknown","2234","2015","Wednesday","No Data","No Data","DOMAIN DR","NO DATA"
"14868419","Not Injured","2149","2015","Wednesday","30.30753477","-97.70656247","E 51ST ST","NO DATA"
"14215056","Non-Incapacitating Injury","1949","2015","Thursday","30.1926113","-97.76880441","IH0035","NO DATA"
"14217930","Not Injured","1930","2015","Thursday","30.39585551","-97.73268397","W BRAKER LN","NO DATA"
"14227001","Not Injured","0230","2015","Thursday","30.25866473","-97.69344206","SL0111","859"
"14215851","Possible Injury","2234","2015","Friday","30.27064402","-97.73282593","IH0035","NO DATA"
"14226534","Not Injured","0215","2015","Friday","30.233438","-97.72322653","E RIVERSIDE DR","NO DATA"
"14235648","Not Injured","0839","2015","Friday","30.23403461","-97.86495479","W US 290","NO DATA"
"14236943","Not Injured","2209","2015","Friday","30.34681648","-97.69975564","SAM RAYBURN DR","8239"
"14237572","Killed","0257","2015","Friday","30.40974376","-97.67430485","IH0035","NO DATA"
"14218381","Not Injured","0102","2015","Saturday","30.35686498","-97.68575584","E RUNDBERG LN","NO DATA"
"14218382","Not Injured","0422","2015","Saturday","30.17283479","-97.6084725","WAR ADMIRAL DR","5500"
