"All crash data available using this tool represents reportable data collected from Texas Peace Officer's Crash Reports (CR-3) received and processed by the Texas Department of Transportation (Department) as of 07/11/2018. The Department makes no warranty, representation or guaranty as to the content, accuracy, timeliness or completeness of any of the information provided as a result of your query. Any opinions and conclusions resulting from analysis performed on the crash data must be represented as your own and not those of the State of Texas or the Department. "

"Query Result Counts:"
"Your query returned a total of 14,761 Crashes containing 33,396 Units and 44,105 Persons"

"Query Filters:"
"Crash Year Is In 2015 or 2016 or 2017"
"City Is Equal To Austin"

"Managed Filters:"
"Distracted Driving Crashes"

"Crash ID","Crash Severity","Crash Time","Crash Year","Day of Week","Latitude","Longitude","Street Name","Street Number"
"14214933","Possible Injury","1337","2015","Thursday","30.1734948","-97.75706246","QUICKSILVER BLVD","4799"
"14214996","Not Injured","1600","2015","Thursday","30.41066386","-97.67412961","IH0035","NO DATA"
"14215422","Not Injured","0215","2015","Thursday","30.38954926","-97.74504852","US0183","NO DATA"
"14219125","Not Injured","0220","2015","Thursday","30.33147416","-97.7265491","ROMERIA DR","1100"
"14222727","Not Injured","0106","2015","Thursday","30.14846481","-97.85485244","BRODIE LN","12351"
"14223394","Not Injured","1800","2015","Thursday","30.40237132","-97.6574578","FM0734","796"
"14235505","Non-Incapacitating Injury","2107","2015","Thursday","30.36998476","-97.70706247","RUTLAND DR","1404"
"14571835","Not Injured","1008","2015","Thursday","30.23329325","-97.72869708","WILLOW CREEK DR","1900"
"14206008","Not Injured","1307","2015","Friday","30.3830326","-97.67372675","IH0035","NO DATA"
"14211547","Not Injured","1110","2015","Friday","30.27753478","-97.74195246","W 15TH ST","NO DATA"
"14211566","Non-Incapacitating Injury","2047","2015","Friday","30.35246832","-97.79531786","SL0360","NO DATA"
"14213880","Not Injured","1940","2015","Friday","30.21642867","-97.75132737","IH0035","NO DATA"
"14223392","Not Injured","2329","2015","Friday","30.23250213","-97.7209845","E RIVERSIDE DR","NO DATA"
"14223410","Not Injured","0255","2015","Friday","30.25695292","-97.73712422","IH0035","NO DATA"
"14225441","Not Injured","1541","2015","Friday","30.21292857","-97.65874767","SH0071","NO DATA"
"14233564","Not Injured","1416","2015","Friday","30.23154479","-97.78723245","MANCHACA RD","4200"
"14268982","Possible Injury","1755","2015","Friday","30.23645558","-97.68620084","US0183","605"
"14394007","Not Injured","1120","2015","Friday","30.36426119","-97.79011302","SL0360","NO DATA"
"14206053","Not Injured","1648","2015","Saturday","30.22937981","-97.74377417","IH0035","2668"
"14206056","Unknown","2307","2015","Saturday","30.41901109","-97.74683419","US0183","NO DATA"
"14211562","Non-Incapacitating Injury","1234","2015","Saturday","30.37164753","-97.78570892","SL0360","NO DATA"
"14211563","Possible Injury","1952","2015","Saturday","30.43263196","-97.65301639","W WELLS BRANCH PKWY","NO DATA"
"14217643","Not Injured","1555","2015","Saturday","30.23606247","-97.73982353","IH0035","NO DATA"
"14219155","Possible Injury","1701","2015","Saturday","30.22141479","-97.76486246","S CONGRESS AVE","4149"
"14226530","Not Injured","0113","2015","Saturday","30.26969478","-97.71902247","ROSEWOOD AVE","NO DATA"
"14226917","Not Injured","1721","2015","Saturday","30.32878476","-97.67725247","E ANDERSON LN","2300"
"14230657","Not Injured","0240","2015","Saturday","30.41898475","-97.74730245","DUVAL RD","NO DATA"
"14280857","Not Injured","1846","2015","Saturday","30.35977911","-97.64909809","SPRINKLE CUT OFF RD","10951"
"14206079","Non-Incapacitating Injury","1357","2015","Sunday","30.17675512","-97.61819529","ROSS RD","5300"
"14211564","Possible Injury","1820","2015","Sunday","30.37523476","-97.72004528","METRIC BLVD","9400"
"14217904","Not Injured","0345","2015","Sunday","30.24119509","-97.72640033","TINNIN FORD RD","1518"
"14223295","Not Injured","1613","2015","Sunday","30.21840121","-97.69108714","SH0071","NO DATA"
"14225513","Not Injured","0034","2015","Sunday","30.37087464","-97.72131063","US0183","NO DATA"
"14225515","Not Injured","0350","2015","Sunday","30.23253777","-97.7205622","E RIVERSIDE DR","4567"
"14233601","Non-Incapacitating Injury","0117","2015","Sunday","30.29221474","-97.66362099","US0183","NO DATA"
"14206965","Unknown","0320","2015","Monday","30.40380316","-97.74552714","US0183","NO DATA"
"14206983","Possible Injury","1450","2015","Monday","No Data","No Data","N MOPAC EXPY","NO DATA"
"14218913","Not Injured","0836","2015","Monday","30.41906096","-97.70224205","FM0734","2508"
"14223448","Not Injured","0517","2015","Monday","30.27036478","-97.75469246","N LAMAR BLVD","NO DATA"
"14223467","Not Injured","0734","2015","Monday","30.26574519","-97.73465308","IH0035","NO DATA"
"14223470","Not Injured","1620","2015","Monday","30.21765347","-97.75060635","IH0035","NO DATA"
"14226953","Non-Incapacitating Injury","0713","2015","Monday","30.2504569","-97.80478139","SL0001","NO DATA"
"14226954","Not Injured","1004","2015","Monday","No Data","No Data","FM0734","NO DATA"
"14226957","Incapacitating Injury","1219","2015","Monday","30.41800054","-97.70110537","TOMANET TRL","12476"
"14226959","Non-Incapacitating Injury","1127","2015","Monday","30.35689577","-97.68890342","IH0035","NO DATA"
"14231583","Non-Incapacitating Injury","1842","2015","Monday","30.20854806","-97.78144315","S 1ST ST","5597"
"14251401","Not Injured","2341","2015","Monday","30.24373235","-97.78215758","SL0343","2884"
"14211611","Not Injured","0858","2015","Tuesday","30.44242474","-97.74641245","MCNEIL DR","NO DATA"
"14211687","Not Injured","1819","2015","Tuesday","30.31407042","-97.82670178","SL0360","1000"
"14211688","Not Injured","1805","2015","Tuesday","30.20033195","-97.63998933","FM0973","3432"
"14211692","Non-Incapacitating Injury","1409","2015","Tuesday","30.28175522","-97.72807335","IH0035","NO DATA"
"14212227","Killed","1704","2015","Tuesday","30.3204286","-97.71310236","SS0069","NO DATA"
"14221039","Possible Injury","1513","2015","Tuesday","30.23643679","-97.73960377","IH0035","NO DATA"
"14226973","Not Injured","1043","2015","Tuesday","30.28627477","-97.70637247","AIRPORT BLVD","3701"
"14226975","Not Injured","1637","2015","Tuesday","30.1807468","-97.84419793","W SLAUGHTER LN","NO DATA"
"14266230","Possible Injury","0734","2015","Tuesday","30.18372777","-97.85039896","W SLAUGHTER LN","NO DATA"
"14267711","Possible Injury","2157","2015","Tuesday","30.24998479","-97.88666243","OLD BEE CAVES RD","8310"
"14212289","Not Injured","1608","2015","Wednesday","30.19774062","-97.76467059","IH0035","NO DATA"
"14212321","Non-Incapacitating Injury","2236","2015","Wednesday","30.23473356","-97.71505682","CROSSING PL","NO DATA"
"14220075","Not Injured","1450","2015","Wednesday","30.34272176","-97.71572452","N LAMAR BLVD","7523"
"14221515","Not Injured","1332","2015","Wednesday","30.32005761","-97.81879516","SL0360","NO DATA"
"14227003","Unknown","0030","2015","Wednesday","No Data","No Data","MASTERSON PASS","NO DATA"
"14227004","Incapacitating Injury","0830","2015","Wednesday","30.21840121","-97.69108714","SH0071","NO DATA"
"14231248","Not Injured","0904","2015","Wednesday","30.20453281","-97.71447924","BURLESON RD","6454"
"14233361","Unknown","2234","2015","Wednesday","No Data","No Data","DOMAIN DR","NO DATA"
"14235603","Possible Injury","1455","2015","Wednesday","30.19295477","-97.77890362","SL0275","NO DATA"
"14334241","Not Injured","0857","2015","Wednesday","30.40802453","-97.74514371","US0183","NO DATA"
"14359852","Non-Incapacitating Injury","2047","2015","Wednesday","30.43061683","-97.70081257","SL0001","NO DATA"
"14212411","Incapacitating Injury","1450","2015","Thursday","30.42039108","-97.70423126","FM0734","NO DATA"
"14214349","Not Injured","0832","2015","Thursday","30.42469018","-97.71365853","W PARMER LN","NO DATA"
"14214362","Possible Injury","1631","2015","Thursday","30.22919847","-97.74388042","IH0035","NO DATA"
"14214364","Possible Injury","1717","2015","Thursday","30.2171613","-97.75089606","IH0035","NO DATA"
"14214386","Non-Incapacitating Injury","1736","2015","Thursday","30.30137085","-97.71463822","AIRPORT BLVD","NO DATA"
"14215058","Not Injured","2040","2015","Thursday","30.19345036","-97.77865674","S CONGRESS AVE","6667"
"14215061","Not Injured","1307","2015","Thursday","30.43523475","-97.76703245","MCNEIL DR","NO DATA"
"14233385","Possible Injury","2251","2015","Thursday","30.23126479","-97.79192245","VICTORY DR","NO DATA"
"14233386","Not Injured","1238","2015","Thursday","30.18366894","-97.79108383","ELDERBERRY DR","7861"
"14215059","Possible Injury","0712","2015","Friday","30.42712338","-97.75507692","US0183","NO DATA"
"14218332","Non-Incapacitating Injury","1602","2015","Friday","No Data","No Data","US0183","NO DATA"
"14218337","Not Injured","2130","2015","Friday","30.21513224","-97.71038779","E OLTORF ST","6296"
"14233566","Possible Injury","0824","2015","Friday","30.19226538","-97.83615361","DAVIS LN","3024"
"14233604","Possible Injury","1402","2015","Friday","30.26857741","-97.77734106","SL0001","NO DATA"
"14233606","Not Injured","2057","2015","Friday","30.3032551","-97.71437569","IH0035","NO DATA"
"14235687","Not Injured","1118","2015","Friday","30.26143292","-97.69820875","SPRINGDALE RD","924"
"14237745","Not Injured","1131","2015","Friday","30.33776375","-97.75767792","RM2222","3413"
"14240244","Non-Incapacitating Injury","1219","2015","Friday","30.43239475","-97.77547244","SPICEWOOD SPRINGS RD","8600"
"14243120","Not Injured","1406","2015","Friday","30.23229537","-97.72036267","E RIVERSIDE DR","NO DATA"
