"All crash data available using this tool represents reportable data collected from Texas Peace Officer's Crash Reports (CR-3) received and processed by the Texas Department of Transportation (Department) as of 07/11/2018. The Department makes no warranty, representation or guaranty as to the content, accuracy, timeliness or completeness of any of the information provided as a result of your query. Any opinions and conclusions resulting from analysis performed on the crash data must be represented as your own and not those of the State of Texas or the Department. "

"Query Result Counts:"
"Your query returned a total of 20,999 Crashes containing 43,736 Units and 59,316 Persons"

"Query Filters:"
"Crash Year Is In 2015 or 2016 or 2017"
"City Is Equal To Austin"

"Managed Filters:"
"Intersection Related Crashes"

"Crash ID","Crash Severity","Crash Time","Crash Year","Day of Week","Latitude","Longitude","Street Name","Street Number"
"14205966","Possible Injury","2346","2015","Thursday","30.21961479","-97.74393247","WOODWARD ST","1900"
"14207008","Possible Injury","2322","2015","Thursday","30.23360863","-97.74126543","IH0035","NO DATA"
"14207797","Not Injured","1635","2015","Thursday","30.28531155","-97.66333635","FM 969","6100"
"14207798","Possible Injury","1625","2015","Thursday","30.24391478","-97.76432246","5TH ST S","2399"
"14207960","Not Injured","1911","2015","Thursday","30.23865375","-97.78930171","SL0343","3800"
"14211440","Not Injured","0114","2015","Thursday","30.24195124","-97.78462498","SL0343","3082"
"14211493","Non-Incapacitating Injury","1852","2015","Thursday","30.29121477","-97.62799249","LOYOLA LN","NO DATA"
"14222727","Not Injured","0106","2015","Thursday","30.14846481","-97.85485244","BRODIE LN","12351"
"14223292","Not Injured","1045","2015","Thursday","30.42358283","-97.7031237","SL0001","NO DATA"
"14223390","Not Injured","2213","2015","Thursday","30.23660535","-97.83985156","US0290","NO DATA"
"14223394","Not Injured","1800","2015","Thursday","30.40237132","-97.6574578","FM0734","796"
"14223948","Not Injured","1733","2015","Thursday","30.2494196","-97.80518969","SL0001","3449"
"14235505","Non-Incapacitating Injury","2107","2015","Thursday","30.36998476","-97.70706247","RUTLAND DR","1404"
"14241409","Possible Injury","0503","2015","Thursday","30.37249476","-97.66577248","DESSAU RD","11300"
"14255573","Incapacitating Injury","0026","2015","Thursday","30.26716478","-97.74698246","W 4TH ST","400"
"14266229","Non-Incapacitating Injury","1719","2015","Thursday","30.27375478","-97.71989247","CHICON ST","1199"
"14205961","Not Injured","1010","2015","Friday","30.40676176","-97.7417255","BALCONES WOODS DR","4702"
"14205963","Not Injured","1300","2015","Friday","30.47869679","-97.80277732","N HIGHWAY 183","NO DATA"
"14206008","Not Injured","1307","2015","Friday","30.3830326","-97.67372675","IH0035","NO DATA"
"14206013","Possible Injury","1437","2015","Friday","30.2370781","-97.82313813","SL0001","NO DATA"
"14206035","Non-Incapacitating Injury","1547","2015","Friday","30.21957479","-97.75663246","E BEN WHITE BLVD","598"
"14206039","Not Injured","1748","2015","Friday","30.31820477","-97.74761246","W 45TH ST","2512"
"14210717","Not Injured","0735","2015","Friday","30.27753478","-97.74195246","W 15TH ST","NO DATA"
"14211547","Not Injured","1110","2015","Friday","30.27753478","-97.74195246","W 15TH ST","NO DATA"
"14211566","Non-Incapacitating Injury","2047","2015","Friday","30.35246832","-97.79531786","SL0360","NO DATA"
"14212469","Non-Incapacitating Injury","0005","2015","Friday","30.40713301","-97.67479529","IH0035","NO DATA"
"14213861","Not Injured","0811","2015","Friday","30.33854897","-97.75881468","RM2222","NO DATA"
"14213871","Non-Incapacitating Injury","1145","2015","Friday","30.32897082","-97.69034794","CAMERON RD","7397"
"14213880","Not Injured","1940","2015","Friday","30.21642867","-97.75132737","IH0035","NO DATA"
"14223392","Not Injured","2329","2015","Friday","30.23250213","-97.7209845","E RIVERSIDE DR","NO DATA"
"14223412","Non-Incapacitating Injury","1831","2015","Friday","30.36079476","-97.69344247","GEORGIAN DR","9399"
"14225441","Not Injured","1541","2015","Friday","30.21292857","-97.65874767","SH0071","NO DATA"
"14226533","Possible Injury","1941","2015","Friday","30.24782936","-97.77210252","SL0343","2153"
"14243641","Unknown","1903","2015","Friday","30.32300477","-97.69427247","CAMERON RD","NO DATA"
"14245331","Not Injured","0857","2015","Friday","30.24915123","-97.80529785","SL0001","NO DATA"
"14268982","Possible Injury","1755","2015","Friday","30.23645558","-97.68620084","US0183","605"
"14394007","Not Injured","1120","2015","Friday","30.36426119","-97.79011302","SL0360","NO DATA"
"14211562","Non-Incapacitating Injury","1234","2015","Saturday","30.37164753","-97.78570892","SL0360","NO DATA"
"14211563","Possible Injury","1952","2015","Saturday","30.43263196","-97.65301639","W WELLS BRANCH PKWY","NO DATA"
"14226530","Not Injured","0113","2015","Saturday","30.26969478","-97.71902247","ROSEWOOD AVE","NO DATA"
"14230657","Not Injured","0240","2015","Saturday","30.41898475","-97.74730245","DUVAL RD","NO DATA"
"14268939","Not Injured","2122","2015","Saturday","30.18286075","-97.68758605","US0183","4798"
"14221313","Non-Incapacitating Injury","0058","2015","Sunday","30.38194475","-97.68635247","W BRAKER LN","NO DATA"
"14223293","Possible Injury","0115","2015","Sunday","30.25736638","-97.73716671","IH0035","NO DATA"
"14223295","Not Injured","1613","2015","Sunday","30.21840121","-97.69108714","SH0071","NO DATA"
"14223445","Non-Incapacitating Injury","2318","2015","Sunday","30.41808475","-97.65884248","E HOWARD LN","NO DATA"
"14225513","Not Injured","0034","2015","Sunday","30.37087464","-97.72131063","US0183","NO DATA"
"14233238","Non-Incapacitating Injury","2217","2015","Sunday","30.20236015","-97.63785553","SH0071","NO DATA"
"14233601","Non-Incapacitating Injury","0117","2015","Sunday","30.29221474","-97.66362099","US0183","NO DATA"
"14260014","Unknown","0335","2015","Sunday","30.22964479","-97.76025246","WOODWARD ST","100"
"14206099","Non-Incapacitating Injury","1322","2015","Monday","30.23003786","-97.78833923","US0290","NO DATA"
"14211610","Not Injured","1644","2015","Monday","30.24559478","-97.75696246","S 1ST ST","1999"
"14223446","Not Injured","0221","2015","Monday","30.40845403","-97.71596606","FM1325","NO DATA"
"14223447","Unknown","0510","2015","Monday","30.31499477","-97.71534247","BRUNING AVE","5241"
"14223448","Not Injured","0517","2015","Monday","30.27036478","-97.75469246","N LAMAR BLVD","NO DATA"
"14223467","Not Injured","0734","2015","Monday","30.26574519","-97.73465308","IH0035","NO DATA"
"14223469","Not Injured","1617","2015","Monday","30.30043477","-97.75884246","WESTOVER RD","NO DATA"
"14223484","Not Injured","2059","2015","Monday","30.2019748","-97.83803244","BRODIE LN","8201"
"14226617","Not Injured","1728","2015","Monday","30.21642876","-97.75132751","IH0035","NO DATA"
"14226953","Non-Incapacitating Injury","0713","2015","Monday","30.2504569","-97.80478139","SL0001","NO DATA"
"14226955","Possible Injury","1129","2015","Monday","30.34126324","-97.77891996","RM2222","4600"
"14230670","Non-Incapacitating Injury","0210","2015","Monday","30.19387232","-97.75682904","DOVE SPRINGS DR","2100"
"14207963","Non-Incapacitating Injury","0855","2015","Tuesday","30.30996477","-97.74006246","N LAMAR BLVD","4201"
"14211611","Not Injured","0858","2015","Tuesday","30.44242474","-97.74641245","MCNEIL DR","NO DATA"
"14211614","Non-Incapacitating Injury","1407","2015","Tuesday","30.26146961","-97.73633679","IH0035","NO DATA"
"14211688","Not Injured","1805","2015","Tuesday","30.20033195","-97.63998933","FM0973","3432"
"14211691","Not Injured","1348","2015","Tuesday","30.28356478","-97.75207246","N LAMAR BLVD","1899"
"14222726","Not Injured","0043","2015","Tuesday","30.19295452","-97.77893164","W WILLIAM CANNON DR","NO DATA"
"14226960","Not Injured","0001","2015","Tuesday","30.2608574","-97.75852178","SL0343","500"
"14226971","Not Injured","1023","2015","Tuesday","30.34774163","-97.71247936","SL0275","NO DATA"
"14226973","Not Injured","1043","2015","Tuesday","30.28627477","-97.70637247","AIRPORT BLVD","3701"
"14226974","Not Injured","1239","2015","Tuesday","30.29778477","-97.74773246","W 29TH ST","1000"
"14231247","Not Injured","1808","2015","Tuesday","30.38958509","-97.72234664","BURNET RD","10530"
"14231555","Possible Injury","1722","2015","Tuesday","30.32212062","-97.70681729","IH0035","NO DATA"
"14267711","Possible Injury","2157","2015","Tuesday","30.24998479","-97.88666243","OLD BEE CAVES RD","8310"
"14321143","Not Injured","0849","2015","Tuesday","30.20488479","-97.83966244","ESKEW DR","3700"
"14391842","Possible Injury","1301","2015","Tuesday","30.29863886","-97.71727789","IH0035","NO DATA"
"14212224","Not Injured","1725","2015","Wednesday","30.27664478","-97.74228246","LAVACA ST","1399"
"14212286","Not Injured","0632","2015","Wednesday","30.40788501","-97.67465788","IH0035","NO DATA"
"14212287","Not Injured","0750","2015","Wednesday","30.36782476","-97.66879248","DESSAU RD","NO DATA"
"14212288","Not Injured","0848","2015","Wednesday","30.16698887","-97.78612879","IH0035","NO DATA"
"14212320","Possible Injury","1924","2015","Wednesday","30.33109477","-97.70039247","E ST JOHNS AVE","900"
"14227004","Incapacitating Injury","0830","2015","Wednesday","30.21840121","-97.69108714","SH0071","NO DATA"
"14233358","Possible Injury","1646","2015","Wednesday","30.38853002","-97.75006615","SL0360","NO DATA"
