,index,Avg_travel_time,Destination,Origin,Time,Weekday,Year
1731,1731,76,51st_springdale,51st_manor,0,0,2015
1732,1732,70,51st_springdale,51st_manor,15,0,2015
1733,1733,71,51st_springdale,51st_manor,30,0,2015
1734,1734,78,51st_springdale,51st_manor,45,0,2015
1735,1735,76,51st_springdale,51st_manor,60,0,2015
1736,1736,72,51st_springdale,51st_manor,75,0,2015
1737,1737,73,51st_springdale,51st_manor,90,0,2015
1738,1738,73,51st_springdale,51st_manor,105,0,2015
1739,1739,81,51st_springdale,51st_manor,120,0,2015
1740,1740,72,51st_springdale,51st_manor,135,0,2015
1741,1741,72,51st_springdale,51st_manor,150,0,2015
1742,1742,72,51st_springdale,51st_manor,165,0,2015
1743,1743,79,51st_springdale,51st_manor,180,0,2015
1744,1744,75,51st_springdale,51st_manor,195,0,2015
1745,1745,75,51st_springdale,51st_manor,210,0,2015
1746,1746,82,51st_springdale,51st_manor,225,0,2015
1747,1747,79,51st_springdale,51st_manor,240,0,2015
1748,1748,71,51st_springdale,51st_manor,255,0,2015
1749,1749,82,51st_springdale,51st_manor,270,0,2015
1750,1750,71,51st_springdale,51st_manor,285,0,2015
1751,1751,71,51st_springdale,51st_manor,300,0,2015
1752,1752,69,51st_springdale,51st_manor,315,0,2015
1753,1753,64,51st_springdale,51st_manor,330,0,2015
1754,1754,67,51st_springdale,51st_manor,345,0,2015
1755,1755,85,51st_springdale,51st_manor,360,0,2015
1756,1756,85,51st_springdale,51st_manor,375,0,2015
1757,1757,67,51st_springdale,51st_manor,390,0,2015
1758,1758,87,51st_springdale,51st_manor,420,0,2015
1759,1759,70,51st_springdale,51st_manor,435,0,2015
1760,1760,89,51st_springdale,51st_manor,465,0,2015
1761,1761,67,51st_springdale,51st_manor,570,0,2015
1762,1762,52,51st_springdale,51st_manor,600,0,2015
1763,1763,69,51st_springdale,51st_manor,660,0,2015
1764,1764,60,51st_springdale,51st_manor,675,0,2015
1765,1765,63,51st_springdale,51st_manor,690,0,2015
1766,1766,72,51st_springdale,51st_manor,705,0,2015
1767,1767,85,51st_springdale,51st_manor,720,0,2015
1768,1768,75,51st_springdale,51st_manor,735,0,2015
1769,1769,62,51st_springdale,51st_manor,750,0,2015
1770,1770,75,51st_springdale,51st_manor,765,0,2015
1771,1771,70,51st_springdale,51st_manor,780,0,2015
1772,1772,71,51st_springdale,51st_manor,795,0,2015
1773,1773,71,51st_springdale,51st_manor,810,0,2015
1774,1774,67,51st_springdale,51st_manor,825,0,2015
1775,1775,73,51st_springdale,51st_manor,840,0,2015
1776,1776,74,51st_springdale,51st_manor,855,0,2015
1777,1777,69,51st_springdale,51st_manor,870,0,2015
1778,1778,72,51st_springdale,51st_manor,885,0,2015
1779,1779,76,51st_springdale,51st_manor,900,0,2015
1780,1780,68,51st_springdale,51st_manor,915,0,2015
1781,1781,73,51st_springdale,51st_manor,930,0,2015
1782,1782,73,51st_springdale,51st_manor,945,0,2015
1783,1783,74,51st_springdale,51st_manor,960,0,2015
1784,1784,71,51st_springdale,51st_manor,975,0,2015
1785,1785,76,51st_springdale,51st_manor,990,0,2015
1786,1786,76,51st_springdale,51st_manor,1005,0,2015
1787,1787,73,51st_springdale,51st_manor,1020,0,2015
1788,1788,82,51st_springdale,51st_manor,1035,0,2015
1789,1789,74,51st_springdale,51st_manor,1050,0,2015
1790,1790,80,51st_springdale,51st_manor,1065,0,2015
1791,1791,71,51st_springdale,51st_manor,1080,0,2015
1792,1792,68,51st_springdale,51st_manor,1095,0,2015
1793,1793,72,51st_springdale,51st_manor,1110,0,2015
1794,1794,72,51st_springdale,51st_manor,1125,0,2015
1795,1795,74,51st_springdale,51st_manor,1140,0,2015
1796,1796,75,51st_springdale,51st_manor,1155,0,2015
1797,1797,75,51st_springdale,51st_manor,1170,0,2015
1798,1798,76,51st_springdale,51st_manor,1185,0,2015
1799,1799,75,51st_springdale,51st_manor,1200,0,2015
1800,1800,78,51st_springdale,51st_manor,1215,0,2015
1801,1801,71,51st_springdale,51st_manor,1230,0,2015
1802,1802,75,51st_springdale,51st_manor,1245,0,2015
1803,1803,75,51st_springdale,51st_manor,1260,0,2015
1804,1804,80,51st_springdale,51st_manor,1275,0,2015
1805,1805,85,51st_springdale,51st_manor,1290,0,2015
1806,1806,75,51st_springdale,51st_manor,1305,0,2015
1807,1807,74,51st_springdale,51st_manor,1320,0,2015
1808,1808,74,51st_springdale,51st_manor,1335,0,2015
1809,1809,73,51st_springdale,51st_manor,1350,0,2015
1810,1810,73,51st_springdale,51st_manor,1365,0,2015
1811,1811,73,51st_springdale,51st_manor,1380,0,2015
1812,1812,85,51st_springdale,51st_manor,1395,0,2015
1813,1813,81,51st_springdale,51st_manor,1410,0,2015
1814,1814,85,51st_springdale,51st_manor,1425,0,2015
1815,1815,83,51st_springdale,51st_manor,0,1,2015
1816,1816,80,51st_springdale,51st_manor,15,1,2015
1817,1817,77,51st_springdale,51st_manor,30,1,2015
1818,1818,72,51st_springdale,51st_manor,45,1,2015
1819,1819,71,51st_springdale,51st_manor,60,1,2015
1820,1820,74,51st_springdale,51st_manor,75,1,2015
1821,1821,73,51st_springdale,51st_manor,90,1,2015
1822,1822,77,51st_springdale,51st_manor,105,1,2015
1823,1823,69,51st_springdale,51st_manor,120,1,2015
1824,1824,80,51st_springdale,51st_manor,135,1,2015
1825,1825,73,51st_springdale,51st_manor,150,1,2015
1826,1826,72,51st_springdale,51st_manor,165,1,2015
1827,1827,70,51st_springdale,51st_manor,180,1,2015
1828,1828,69,51st_springdale,51st_manor,195,1,2015
1829,1829,78,51st_springdale,51st_manor,210,1,2015
1830,1830,78,51st_springdale,51st_manor,225,1,2015
1831,1831,65,51st_springdale,51st_manor,240,1,2015
1832,1832,76,51st_springdale,51st_manor,255,1,2015
1833,1833,107,51st_springdale,51st_manor,270,1,2015
1834,1834,86,51st_springdale,51st_manor,285,1,2015
1835,1835,78,51st_springdale,51st_manor,300,1,2015
1836,1836,71,51st_springdale,51st_manor,315,1,2015
1837,1837,71,51st_springdale,51st_manor,330,1,2015
1838,1838,64,51st_springdale,51st_manor,345,1,2015
1839,1839,62,51st_springdale,51st_manor,360,1,2015
1840,1840,65,51st_springdale,51st_manor,375,1,2015
1841,1841,82,51st_springdale,51st_manor,390,1,2015
1842,1842,72,51st_springdale,51st_manor,405,1,2015
1843,1843,58,51st_springdale,51st_manor,435,1,2015
1844,1844,74,51st_springdale,51st_manor,450,1,2015
1845,1845,131,51st_springdale,51st_manor,480,1,2015
1846,1846,62,51st_springdale,51st_manor,555,1,2015
1847,1847,52,51st_springdale,51st_manor,615,1,2015
1848,1848,111,51st_springdale,51st_manor,630,1,2015
1849,1849,77,51st_springdale,51st_manor,660,1,2015
1850,1850,82,51st_springdale,51st_manor,675,1,2015
1851,1851,66,51st_springdale,51st_manor,690,1,2015
1852,1852,88,51st_springdale,51st_manor,705,1,2015
1853,1853,71,51st_springdale,51st_manor,720,1,2015
1854,1854,87,51st_springdale,51st_manor,735,1,2015
1855,1855,72,51st_springdale,51st_manor,750,1,2015
1856,1856,77,51st_springdale,51st_manor,765,1,2015
1857,1857,69,51st_springdale,51st_manor,780,1,2015
1858,1858,73,51st_springdale,51st_manor,795,1,2015
1859,1859,73,51st_springdale,51st_manor,810,1,2015
1860,1860,71,51st_springdale,51st_manor,825,1,2015
1861,1861,73,51st_springdale,51st_manor,840,1,2015
1862,1862,74,51st_springdale,51st_manor,855,1,2015
1863,1863,73,51st_springdale,51st_manor,870,1,2015
1864,1864,74,51st_springdale,51st_manor,885,1,2015
1865,1865,70,51st_springdale,51st_manor,900,1,2015
1866,1866,79,51st_springdale,51st_manor,915,1,2015
1867,1867,74,51st_springdale,51st_manor,930,1,2015
1868,1868,76,51st_springdale,51st_manor,945,1,2015
1869,1869,78,51st_springdale,51st_manor,960,1,2015
1870,1870,76,51st_springdale,51st_manor,975,1,2015
