"All crash data available using this tool represents reportable data collected from Texas Peace Officer's Crash Reports (CR-3) received and processed by the Texas Department of Transportation (Department) as of 07/11/2018. The Department makes no warranty, representation or guaranty as to the content, accuracy, timeliness or completeness of any of the information provided as a result of your query. Any opinions and conclusions resulting from analysis performed on the crash data must be represented as your own and not those of the State of Texas or the Department. "

"Query Result Counts:"
"Your query returned a total of 1,799 Crashes containing 3,238 Units and 4,141 Persons"

"Query Filters:"
"Crash Year Is In 2015 or 2016 or 2017"
"City Is Equal To Austin"

"Managed Filters:"
"Speed Related Crashes"

"Crash ID","Crash Severity","Crash Time","Crash Year","Day of Week","Latitude","Longitude","Street Name","Street Number"
"14205930","Non-Incapacitating Injury","1158","2015","Thursday","30.25636181","-97.6773267","ED BLUESTEIN BLVD","NO DATA"
"14211441","Not Injured","1543","2015","Thursday","30.30365238","-97.71411958","IH0035","NO DATA"
"14214932","Possible Injury","1624","2015","Thursday","30.24967852","-97.80508654","SL0001","3446"
"14219124","Non-Incapacitating Injury","1524","2015","Thursday","30.37647392","-97.79544258","BEAUFORD DR","6904"
"14223393","Possible Injury","2234","2015","Thursday","30.41987966","-97.70441228","SL0001","NO DATA"
"14223948","Not Injured","1733","2015","Thursday","30.2494196","-97.80518969","SL0001","3449"
"14233640","Not Injured","2340","2015","Thursday","30.29016854","-97.78999597","REDBUD TRL","3531"
"14206012","Non-Incapacitating Injury","1450","2015","Friday","30.328968","-97.67761928","ED BLUESTEIN BLVD","0"
"14223411","Not Injured","1724","2015","Friday","30.42207034","-97.671978","IH0035","NO DATA"
"14223414","Non-Incapacitating Injury","2042","2015","Friday","30.25159235","-97.68195624","US0183","NO DATA"
"14225478","Not Injured","1712","2015","Friday","30.36946658","-97.71948055","US0183","NO DATA"
"14258169","Not Injured","2304","2015","Friday","30.23395775","-97.79656598","SL0343","NO DATA"
"14206056","Unknown","2307","2015","Saturday","30.41901109","-97.74683419","US0183","NO DATA"
"14217647","Possible Injury","1716","2015","Saturday","30.14057287","-97.79588962","IH0035","NO DATA"
"14219072","Unknown","0240","2015","Saturday","30.42853238","-97.74691872","RIATA TRACE PKWY","12300"
"14221313","Non-Incapacitating Injury","0058","2015","Sunday","30.38194475","-97.68635247","W BRAKER LN","NO DATA"
"14223443","Non-Incapacitating Injury","0333","2015","Sunday","30.31264119","-97.70866062","IH0035","NO DATA"
"14223444","Unknown","2307","2015","Sunday","No Data","No Data","GRACY FARMS LN","NO DATA"
"14225513","Not Injured","0034","2015","Sunday","30.37087464","-97.72131063","US0183","NO DATA"
"14223447","Unknown","0510","2015","Monday","30.31499477","-97.71534247","BRUNING AVE","5241"
"14212227","Killed","1704","2015","Tuesday","30.3204286","-97.71310236","SS0069","NO DATA"
"14215851","Possible Injury","2234","2015","Friday","30.27064402","-97.73282593","IH0035","NO DATA"
"14233606","Not Injured","2057","2015","Friday","30.3032551","-97.71437569","IH0035","NO DATA"
"14218463","Not Injured","0741","2015","Saturday","30.47551151","-97.76778618","SH0045","NO DATA"
"14218464","Non-Incapacitating Injury","1156","2015","Saturday","30.3331941","-97.70389744","IH0035","NO DATA"
"14221096","Possible Injury","1410","2015","Saturday","30.22103985","-97.74224938","PARKER LN","3358"
"14230727","Not Injured","0728","2015","Saturday","30.47228636","-97.79853573","US0183","NO DATA"
"14237746","Non-Incapacitating Injury","2323","2015","Saturday","30.27167173","-97.73245068","IH0035","NO DATA"
"14359851","Unknown","1246","2015","Saturday","30.35804164","-97.79181102","SL0360","NO DATA"
"14218538","Not Injured","1203","2015","Sunday","30.41660543","-97.77380813","RAIN CREEK PKWY","7300"
