,0,latitude,longitude
0,51st_mueller,30.305216,-97.690744
1,51st_springdale,30.293568,-97.677838
2,51st_manor,30.298136,-97.687058
3,51st_us183,30.292349,-97.663495
4,springdale_manor,30.293568,-97.677838
5,springdale_mlk,30.293568,-97.677838
6,lamar_5th,30.27031,-97.754648
7,cesar_chavez_red_river,30.261806,-97.738812
8,mlk_red_river,30.279309,-97.732951
9,5th_red_river,30.265556,-97.737532
10,7th_chicon,30.26256,-97.722131
11,coda_southgate,43.66663,-92.974637
12,elroy_mcangus,30.153933,-97.639793
13,fm973_burleson,30.210049,-97.637771
14,mcangus_south,30.148022,-97.655099
15,us183_burleson,30.182938,-97.687748
16,congress_6th,30.268066,-97.742813
17,7th_plesant_valley,30.26007,-97.709473
18,7th_springdale,30.256036,-97.701673
19,us183_vargas,30.239857,-97.688083
20,7th_shady,30.253371,-97.697555
21,lamar_riverside,30.264559,-97.757167
22,Lamar_and_Manchca_Barton_skyway,30.242636,-97.781688
23,bartonsprings_robertelee_south,30.266962,-97.772859
24,kinney_lamar,30.247238,-97.772712
25,lamar_barton_springs,30.260865,-97.758452
26,lamar_oltorf,30.248426,-97.769966
27,Lamar_PaytonGin,30.357655,-97.700094
28,lamar_24th,30.288541,-97.752787
29,lamar_lamar_square,30.254241,-97.762582
30,Lamar_Braker,30.381976,-97.686344
31,Lamar_Blue_Bonnet,30.246912,-97.777241
32,Lamar_BrodieOaks,30.237043,-97.795032
33,lamar_panther,30.23866,-97.789291
34,anderson_mill_spicewood_parkway,30.447082,-97.807264
35,anderson_mill_us183,30.335168,-97.702466
36,anderson_mill_bethany,30.447459,-97.798402
37,rm620_anderson_mill,30.455385,-97.825843
38,bartonsprings_robertelee,30.264728,-97.765054
39,bartonsprings_Kinney,30.262047,-97.761439
40,benwhite_riverside,30.218858,-97.69112
41,congress_benwhite,30.224457,-97.762871
42,benwhite_montopolis,30.213776,-97.7204
43,fm973_tx71,30.202427,-97.639619
44,riverside_montopolis,30.231282,-97.716369
45,riverside_plesant_valley,30.234061,-97.722771
46,tx71_ross,30.186419,-97.609538
47,us183_fm812,30.164144,-97.692792
48,burnet_anderson,30.356092,-97.730906
49,burnet_koenig,30.334813,-97.739848
50,burnet_45th,30.315352,-97.741612
51,burnet_braker,30.391226,-97.721784
52,burnet_us183,30.358896,-97.730097
53,burnet_gault,30.404973,-97.716068
54,burnet_duval_loop1,30.40515,-97.715947
55,burnet_waterford,30.376481,-97.730539
56,fm2222_loop1,30.279299,-97.767474
57,lamar_koenig,30.325906,-97.726351
58,cap_tx_hwy_westlake,30.333084,-97.808205
59,fm2222_loop360,30.277226,-97.826407
60,cap_tx_hwy_spicewood_springs_north,30.374424,-97.76077
61,courtyard_loop360,30.352549,-97.795363
62,cap_tx_hwy_walsh_tarlton,30.257994,-97.812151
63,cap_tx_hwy_westgate,30.236966,-97.797254
64,pascal_loop360,30.315555,-97.826111
65,cap_tx_hwy_lakewood,30.371784,-97.785732
66,cap_tx_hwy_loop1_nbsr,30.286013,-97.826852
67,cap_tx_hwy_courtyard,30.391235,-97.737327
68,cesar_chavez_lavaca,30.264114,-97.746936
69,cesar_chavez_trail_underpass,30.270939,-97.763186
70,cesar_chavez_br_reynolds,30.266976,-97.757121
71,congress_cesar_chavez,30.271801,-97.741433
72,lavaca_5th,30.267796,-97.745545
73,south_1st_barton_spring,30.258391,-97.750092
74,south_1st_oltorf,30.242129,-97.759619
75,south_1st_st_elmo,30.222644,-97.773421
76,congress_6th_st,30.268066,-97.742813
77,5th_trinity,30.266144,-97.739684
78,congress_11th,30.272743,-97.741082
79,congress_5th,30.267117,-97.743131
80,congress_elizabeth,30.249787,-97.754657
81,congress_oltorf,30.238802,-97.753573
82,lamar_6th,30.27154,-97.753993
83,lavaca_6th,30.268728,-97.745205
84,congress_11th_st,30.272743,-97.741082
85,congress_stassney,30.204885,-97.774843
86,south_1st_benwhite,30.226849,-97.769179
87,riverside_congress,30.26018,-97.749659
88,congress_wm_cannon,30.192946,-97.778895
89,congress_slaughter,30.167052,-97.788531
90,ross_pearce,30.449715,-97.783565
91,fm812_fm973,30.145408,-97.673336
92,2nd_san_jacinto,30.263642,-97.74179
93,cota_northgate,30.134581,-97.635851
94,fm2222_mcneil,30.392057,-97.8352
95,fm2222_parkcrest,30.338473,-97.758922
96,fm2222_bell_mountain,30.37722,-97.805496
97,fm2222_mesa,30.341306,-97.769626
98,fm2222_riverplace,30.394466,-97.845418
99,fm2222_rm620,30.403769,-97.853954
100,rm620_wilson_park,30.416729,-97.847396
101,cota_southgate,30.134581,-97.635851
102,burleson_emma_browning,30.173157,-97.670541
103,fm973_pearce,30.18058,-97.646618
104,guadalupe_6th,30.269036,-97.746307
105,south_1st_cesar_chavez_lavaca,30.264114,-97.746936
106,guadalupe_24th,30.287951,-97.7426
107,mlk_guadalupe,30.281728,-97.741922
108,guadalupe_21st,30.283824,-97.74193
109,guadalupe_26th,30.290451,-97.74132
110,guadalupe_27th,30.291967,-97.74117
111,guadalupe_5th,30.268129,-97.746651
112,lamar_45th,30.313496,-97.737642
113,lamar_mlk,30.345643,-97.714112
114,lamar_29th,30.298177,-97.748489
115,lamar_38th,30.30518,-97.743069
116,lamar_morrow,30.344,-97.715044
117,lamar_airport,30.337577,-97.718822
118,lamar_12th,30.27687,-97.751399
119,lamar_51st,30.318735,-97.730879
120,6th_campbell,30.276005,-97.76454
121,lamar_rundberg,30.363062,-97.697027
122,lamar_parmer,30.407912,-97.678213
123,lamar_payton_gin,30.357655,-97.700094
124,lamar_braker,30.381976,-97.686344
125,Lamar_5th,30.27031,-97.754648
126,rundberg_middle_fiskville,30.357478,-97.686511
127,guadalupe_15th,30.277941,-97.742992
128,mlk_lavaca,30.281858,-97.690085
129,lavaca_15th,30.277383,-97.741894
130,mlk_ih35,30.373372,-97.678546
131,red_river_dean_keeton,30.287137,-97.726775
132,red_river_38th,30.295617,-97.723407
133,red_river_32nd,30.291048,-97.727149
134,ih_35_riverside,30.30329,-97.716007
135,riverside_ih35,30.30329,-97.716007
136,rm620_boulder_north,30.458076,-97.823004
137,rm620_el_salido,30.457993,-97.823089
138,rm620_boulder_south,30.443565,-97.83308
139,rm620_lake_creek,30.462177,-97.815962
140,rm620_hatch,30.46083,-97.819959
141,rm620_deerbrook,30.463887,-97.810626
142,south1st_oltorf,30.242129,-97.759619
143,south_1st_stassney,30.20853,-97.781476
144,south_1st_wm_cannon,30.197051,-97.787842
145,south_1st_slaughter,30.172374,-97.799541
146,springdale_12th,30.278961,-97.687041
147,us183_metropolis,30.209988,-97.683434
148,wm_cannon_brodie,30.213687,-97.830348
149,wm_cannon_bluff_springs,30.189239,-97.767852
