"All crash data available using this tool represents reportable data collected from Texas Peace Officer's Crash Reports (CR-3) received and processed by the Texas Department of Transportation (Department) as of 07/11/2018. The Department makes no warranty, representation or guaranty as to the content, accuracy, timeliness or completeness of any of the information provided as a result of your query. Any opinions and conclusions resulting from analysis performed on the crash data must be represented as your own and not those of the State of Texas or the Department. "

"Query Result Counts:"
"Your query returned a total of 2,521 Crashes containing 5,460 Units and 7,033 Persons"

"Query Filters:"
"Crash Year Is In 2015 or 2016 or 2017"
"City Is Equal To Austin"

"Managed Filters:"
"Work Zone Crashes"

"Crash ID","Crash Severity","Crash Time","Crash Year","Day of Week","Latitude","Longitude","Street Name","Street Number"
"14207008","Possible Injury","2322","2015","Thursday","30.23360863","-97.74126543","IH0035","NO DATA"
"14207909","Not Injured","1620","2015","Thursday","30.24145489","-97.88151404","SH0071","NO DATA"
"14225474","Not Injured","0329","2015","Saturday","30.2657795","-97.78253937","SL0001","NO DATA"
"14211610","Not Injured","1644","2015","Monday","30.24559478","-97.75696246","S 1ST ST","1999"
"14211688","Not Injured","1805","2015","Tuesday","30.20033195","-97.63998933","FM0973","3432"
"14220077","Not Injured","0923","2015","Tuesday","30.33048607","-97.75571283","SL0001","NO DATA"
"14227004","Incapacitating Injury","0830","2015","Wednesday","30.21840121","-97.69108714","SH0071","NO DATA"
"14212385","Not Injured","1335","2015","Thursday","30.44363051","-97.74310782","MCNEIL DR","NO DATA"
"14235648","Not Injured","0839","2015","Friday","30.23403461","-97.86495479","W US 290","NO DATA"
"14227017","Not Injured","2252","2015","Saturday","30.38640239","-97.73523323","SL0001","NO DATA"
"14237787","Not Injured","2000","2015","Sunday","30.29765635","-97.75845494","SL0001","NO DATA"
"14230732","Non-Incapacitating Injury","1517","2015","Monday","30.20657118","-97.71872037","BURLESON RD","6026"
"14236941","Not Injured","1727","2015","Monday","30.37848019","-97.7384053","SL0001","NO DATA"
"14226535","Not Injured","1908","2015","Tuesday","30.23309964","-97.87529291","US0290","NO DATA"
"14236942","Unknown","1536","2015","Tuesday","30.29200571","-97.76011227","SL0001","NO DATA"
"14266059","Not Injured","1623","2015","Tuesday","30.33519884","-97.75558199","SL0001","NO DATA"
"14236982","Possible Injury","1851","2015","Thursday","30.1953048","-97.84229244","BRODIE LN","8801"
"14238057","Not Injured","2243","2015","Friday","30.29186415","-97.76016751","SL0001","NO DATA"
"14315326","Not Injured","1127","2015","Friday","30.2148223","-97.73535741","TODD LN","3708"
"14253586","Non-Incapacitating Injury","0253","2015","Saturday","30.33372378","-97.75562367","SL0001","NO DATA"
"14257725","Non-Incapacitating Injury","1635","2015","Monday","30.35423401","-97.74749101","SL0001","NO DATA"
"14231649","Not Injured","1332","2015","Tuesday","30.28599148","-97.76389568","SL0001","NO DATA"
"14243967","Possible Injury","0755","2015","Tuesday","30.38289029","-97.73635843","SL0001","NO DATA"
"14359983","Possible Injury","0813","2015","Tuesday","30.35117513","-97.74910985","SL0001","NO DATA"
"14258213","Not Injured","1158","2015","Thursday","30.24475648","-97.88486703","SH0071","NO DATA"
"14298078","Possible Injury","1306","2015","Thursday","30.1889688","-97.78022492","S CONGRESS AVE","7013"
"14240839","Possible Injury","1739","2015","Friday","30.30069108","-97.7582908","SL0001","NO DATA"
"14238460","Not Injured","1216","2015","Saturday","30.26104769","-97.73586357","CESAR CHAVEZ ST E","NO DATA"
"14279925","Possible Injury","1824","2015","Saturday","30.29293477","-97.63161249","LOYOLA LN","NO DATA"
"14255816","Possible Injury","1522","2015","Monday","30.17677879","-97.88515088","SL0001","NO DATA"
"14270547","Not Injured","1451","2015","Monday","30.37819264","-97.73853817","SL0001","NO DATA"
"14248243","Non-Incapacitating Injury","2135","2015","Thursday","30.21627109","-97.75142849","IH0035","NO DATA"
"14253757","Not Injured","2016","2015","Thursday","30.2736765","-97.73176672","IH0035","NO DATA"
"14280268","Non-Incapacitating Injury","1648","2015","Friday","30.41327479","-97.70782691","SL0001","NO DATA"
"14251781","Not Injured","1909","2015","Saturday","30.29211336","-97.76007027","SL0001","NO DATA"
"14272519","Not Injured","1735","2015","Sunday","30.41764175","-97.74659359","US0183","11671"
"14359986","Not Injured","1820","2015","Sunday","30.34482819","-97.75159938","SL0001","NO DATA"
"14253862","Unknown","0720","2015","Tuesday","30.25478114","-97.80448609","S MO PAC EXPY","2700"
"14255580","Not Injured","1215","2015","Tuesday","30.36670142","-97.74284437","SL0001","NO DATA"
"14257785","Non-Incapacitating Injury","0723","2015","Wednesday","30.24222303","-97.88225808","SH0071","NO DATA"
"14260535","Not Injured","1127","2015","Friday","30.25735138","-97.90457595","SH0071","NO DATA"
"14263993","Non-Incapacitating Injury","1355","2015","Saturday","30.3598461","-97.74513723","SL0001","NO DATA"
"14294048","Not Injured","1324","2015","Saturday","30.36737766","-97.74269495","SL0001","NO DATA"
"14264033","Not Injured","1210","2015","Sunday","30.17614249","-97.88569282","SL0001","NO DATA"
"14264250","Not Injured","0925","2015","Monday","30.28167478","-97.70941244","E MARTIN LUTHER KING JR BLVD","2900"
"14296338","Possible Injury","1501","2015","Monday","30.32358852","-97.73925128","NORTH ST","1582"
"14270121","Not Injured","1552","2015","Tuesday","30.17614249","-97.88569282","SL0001","NO DATA"
"14271955","Non-Incapacitating Injury","1337","2015","Tuesday","30.36928596","-97.74211887","SL0001","NO DATA"
"14280596","Possible Injury","1535","2015","Tuesday","30.24703574","-97.88840174","SH0071","NO DATA"
"14270301","Not Injured","2225","2015","Wednesday","30.39413138","-97.73319863","SL0001","NO DATA"
"14272194","Not Injured","1816","2015","Wednesday","30.40770641","-97.72001762","SL0001","NO DATA"
"14292838","Not Injured","0817","2015","Wednesday","30.17361512","-97.88763508","SL0001","NO DATA"
"14362575","Unknown","1545","2015","Wednesday","30.23406929","-97.86490292","US0290","NO DATA"
"14281092","Not Injured","1345","2015","Thursday","30.23332172","-97.87477863","US0290","NO DATA"
"14281108","Not Injured","1535","2015","Thursday","30.36807068","-97.74252072","SL0001","NO DATA"
"14292839","Possible Injury","0817","2015","Thursday","30.35158869","-97.74903626","SL0001","NO DATA"
"14298939","Not Injured","0250","2015","Thursday","No Data","No Data","SAN ANTONIO ST","NO DATA"
"14281138","Not Injured","1504","2015","Friday","30.21529646","-97.73525205","SH0071","NO DATA"
"14306800","Non-Incapacitating Injury","1811","2015","Friday","30.33584844","-97.75551697","SL0001","NO DATA"
"14281180","Non-Incapacitating Injury","1121","2015","Saturday","30.17524842","-97.88861573","TX 1 LOOP","NO DATA"
"14306804","Not Injured","2229","2015","Sunday","30.34838124","-97.69429365","IH0035","NO DATA"
"14312080","Possible Injury","1927","2015","Sunday","30.27878759","-97.76799475","SL0001","NO DATA"
"14296568","Not Injured","1640","2015","Wednesday","30.33295254","-97.75564546","SL0001","NO DATA"
"14694177","Not Injured","1045","2015","Wednesday","30.23404501","-97.86903721","US0290","NO DATA"
"14290069","Not Injured","1513","2015","Friday","30.37623554","-97.60963219","HARRIS BRANCH PKWY","NO DATA"
"14290070","Not Injured","1505","2015","Friday","30.25309062","-97.71613521","WILLOW ST","2576"
"14334264","Not Injured","0838","2015","Saturday","30.28124944","-97.76661035","SL0001","NO DATA"
"14340726","Possible Injury","0540","2015","Sunday","30.26237068","-97.74088221","CESAR CHAVEZ ST E","414"
"14293044","Not Injured","0336","2015","Tuesday","30.29827381","-97.64409644","LOYOLA LN","NO DATA"
"14293106","Incapacitating Injury","1421","2015","Tuesday","30.32934168","-97.72419602","N LAMAR BLVD","6100"
"14294187","Not Injured","1339","2015","Tuesday","30.21684549","-97.75108196","IH0035","NO DATA"
"14308444","Not Injured","0617","2015","Saturday","30.44247103","-97.70511878","W HOWARD LN","NO DATA"
"14309186","Not Injured","0617","2015","Saturday","30.44242627","-97.70500267","W HOWARD LN","NO DATA"
"14313081","Non-Incapacitating Injury","0548","2015","Saturday","30.40315757","-97.72770988","SL0001","11400"
"14340847","Possible Injury","0846","2015","Saturday","30.44233131","-97.70475637","W HOWARD LN","NO DATA"
"14340935","Not Injured","1708","2015","Sunday","30.28185399","-97.76631205","SL0001","NO DATA"
"14308605","Not Injured","0255","2015","Monday","30.21561191","-97.66366203","SH0071","NO DATA"
"14313592","Possible Injury","1445","2015","Wednesday","30.26031123","-97.73381307","CESAR CHAVEZ ST E","1077"
"14320516","Non-Incapacitating Injury","1816","2015","Thursday","30.37952805","-97.73792267","US0183","NO DATA"
"14334483","Unknown","2336","2015","Thursday","30.40274706","-97.72816333","SL0001","NO DATA"
"14313639","Not Injured","0827","2015","Friday","30.2989708","-97.64565837","LOYOLA LN","NO DATA"
"14318610","Non-Incapacitating Injury","0729","2015","Friday","30.16112741","-97.7443087","SALT SPRINGS DR","7900"
"14346813","Not Injured","0255","2015","Saturday","30.28243591","-97.76602491","SL0001","NO DATA"
"14321603","Not Injured","1340","2015","Sunday","30.23518999","-97.87654785","SH0071","7138"
"14326487","Incapacitating Injury","1603","2015","Sunday","30.44392381","-97.74237054","FM0734","6103"
"14321266","Possible Injury","1324","2015","Tuesday","30.40076471","-97.74582446","US0183","NO DATA"
"14326542","Non-Incapacitating Injury","2204","2015","Wednesday","30.33858441","-97.75471389","SL0001","NO DATA"
"14320718","Non-Incapacitating Injury","0155","2015","Thursday","30.23434525","-97.74083172","IH0035","NO DATA"
